Department,Destination State,Purpose of Trip,Trip Start Date,Trip End Date,Status
Office of Communications and Media,FL,White-Kutch,2019-06-14,2019-06-15,Approved
Disability Determination Bureau,OK,"Runolfsson, Bogisich and DuBuque",2019-10-01,2019-10-01,Approved
Division of Disability and Rehabilitative Services,OK,"Homenick, Waters and Gusikowski",2019-04-03,2019-04-06,Rejected
Technology,FL,"Schoen, Mitchell and Kovacek",2019-03-13,2019-03-20,Approved
Human Resources,FL,Senger-Schumm,2019-04-27,2019-05-05,Approved
Division of Finance,CA,"Abernathy, Beatty and Leffler",2019-03-09,2019-03-09,Rejected
Contract Management,TX,Mertz-Mertz,2019-12-22,2020-01-01,Approved
Division of Aging,OK,Tromp Group,2019-04-23,2019-04-28,Approved
Audit Services,FL,Leuschke-Lakin,2019-08-09,2019-08-15,Rejected
Division of Aging,GA,"Homenick, Blanda and Hoppe",2019-11-05,2019-11-11,Approved
Disability Determination Bureau,CA,"Weimann, Larson and Wiza",2019-03-22,2019-03-22,Approved
Technology,TX,"Romaguera, Muller and Schulist",2019-03-06,2019-03-09,Approved
Office of General Counsel,TX,"Lehner, Robel and Botsford",2019-11-21,2019-11-26,Approved
Office of Communications and Media,TX,Hodkiewicz LLC,2019-03-07,2019-03-19,Approved
Division of Aging,FL,Hoeger-Crist,2019-08-06,2019-08-14,Approved
Legislative Services,OK,"Kautzer, Fisher and Kiehn",2019-04-07,2019-04-14,Approved
Contract Management,FL,"Kerluke, Watsica and Labadie",2019-05-08,2019-05-14,Approved
Division of Disability and Rehabilitative Services,FL,Wintheiser-DuBuque,2019-11-06,2019-11-12,Approved
Audit Services,TX,Keeling-Raynor,2019-02-28,2019-03-06,Approved
Disability Determination Bureau,OK,Weber-Herman,2019-03-06,2019-03-07,Rejected
Office of Communications and Media,CA,Wolff-Schumm,2019-07-09,2019-07-13,Approved
Legislative Services,OK,"Sauer, Franecki and VonRueden",2019-06-14,2019-06-26,Rejected
Office of Communications and Media,FL,Streich LLC,2019-01-12,2019-01-19,Rejected
Legislative Services,GA,"Klocko, Gutkowski and Mitchell",2019-09-19,2019-09-21,Approved
Contract Management,OK,Ward Group,2019-05-11,2019-05-11,Approved
Human Resources,FL,"Purdy, Halvorson and Langworth",2019-07-30,2019-07-30,Approved
Legislative Services,CA,Wiza Group,2019-02-27,2019-03-01,Approved
Human Resources,GA,"Fadel, Bradtke and Trantow",2019-11-30,2019-12-05,Approved
Office of Communications and Media,CA,Crooks-Connelly,2019-08-18,2019-09-01,Approved
Division of Disability and Rehabilitative Services,OK,Herzog Group,2019-01-23,2019-01-26,Approved
Technology,TX,Hegmann and Sons,2019-04-10,2019-04-14,Rejected
Office of Communications and Media,FL,Bashirian and Sons,2019-05-30,2019-05-30,Approved
Division of Disability and Rehabilitative Services,GA,Dicki-Rath,2019-07-07,2019-07-07,Approved
Division of Mental Health and Addiction,GA,Windler Group,2019-11-15,2019-11-20,Approved
Office of Early Childhood and Out-of-School Learning,TX,Satterfield and Sons,2019-07-13,2019-07-19,Approved
Division of Mental Health and Addiction,TX,"Sanford, Kuhic and Bergnaum",2019-12-19,2019-12-19,Approved
Disability Determination Bureau,FL,Mitchell-Gibson,2019-10-20,2019-10-22,Approved
Division of Aging,FL,Altenwerth-Crooks,2019-02-17,2019-02-20,Approved
Technology,CA,Jaskolski-Murray,2019-07-21,2019-07-31,Approved
Division of Family Resources,GA,"Nitzsche, Reichert and Johns",2019-09-08,2019-09-20,Approved
Office of Communications and Media,OK,Jacobi-Ferry,2019-06-02,2019-06-12,Approved
Technology,FL,Kling Inc,2019-04-25,2019-04-27,Approved
Technology,FL,Kutch-Ebert,2019-07-31,2019-08-21,Approved
Division of Aging,GA,Huels-Kihn,2019-03-05,2019-03-14,Approved
Division of Aging,OK,Spinka Group,2019-01-24,2019-01-24,Approved
Technology,TX,"Kunde, O'Reilly and Steuber",2019-11-19,2019-11-29,Approved
Office of Medicaid Policy and Planning,CA,"Huels, Kuvalis and Blanda",2019-11-05,2019-11-11,Approved
Division of Disability and Rehabilitative Services,FL,"Rutherford, Cremin and Yundt",2019-06-27,2019-06-27,Approved
Technology,GA,Jaskolski Group,2019-03-15,2019-03-19,Approved
Division of Family Resources,TX,Halvorson LLC,2019-04-01,2019-04-01,Approved
Audit Services,TX,Schuppe-Armstrong,2019-04-30,2019-05-10,Approved
Human Resources,FL,Fritsch-Johnston,2019-07-09,2019-07-11,Approved
Disability Determination Bureau,GA,"Goyette, Effertz and Wilderman",2019-04-23,2019-05-02,Approved
Division of Disability and Rehabilitative Services,OK,Wisozk LLC,2019-10-11,2019-10-12,Approved
Office of General Counsel,FL,Fay Group,2019-12-06,2019-12-08,Approved
Quality and Compliance Office,FL,Jaskolski-Watsica,2019-04-22,2019-04-22,Approved
Division of Disability and Rehabilitative Services,CA,Ritchie-Corkery,2019-08-12,2019-08-22,Approved
Office of Early Childhood and Out-of-School Learning,CA,"Reilly, Weissnat and Hettinger",2019-04-22,2019-04-25,Approved
Human Resources,FL,Hammes and Sons,2019-11-29,2019-12-05,Approved
Legislative Services,TX,Wintheiser-Romaguera,2019-06-03,2019-06-03,Approved
Division of Finance,GA,Crona-Cremin,2019-07-05,2019-07-20,Approved
Division of Disability and Rehabilitative Services,CA,Kiehn-Ondricka,2019-09-15,2019-09-18,Approved
Division of Disability and Rehabilitative Services,CA,Sawayn-King,2019-07-19,2019-07-20,Approved
Office of Early Childhood and Out-of-School Learning,OK,Ebert Inc,2019-04-23,2019-05-05,Rejected
Quality and Compliance Office,CA,"Bauch, Bosco and Morissette",2019-02-05,2019-02-05,Approved
Contract Management,CA,Hand and Sons,2019-09-23,2019-09-29,Approved
Legislative Services,TX,Adams-Halvorson,2019-01-20,2019-01-23,Approved
Division of Finance,OK,Collier Group,2019-12-11,2019-12-19,Approved
Office of Early Childhood and Out-of-School Learning,FL,Ullrich Inc,2019-04-04,2019-04-04,Approved
Audit Services,OK,"Muller, Dach and Powlowski",2019-12-27,2020-01-10,Approved
Technology,CA,Hermann LLC,2019-09-09,2019-09-21,Approved
Office of Communications and Media,FL,Beatty LLC,2019-12-04,2019-12-10,Approved
Office of Early Childhood and Out-of-School Learning,FL,"Emmerich, Koch and Zemlak",2019-05-31,2019-06-02,Approved
Division of Disability and Rehabilitative Services,TX,"Ward, Willms and Sanford",2019-09-18,2019-09-30,Approved
Legislative Services,FL,"Schaefer, Von and Bins",2019-10-04,2019-10-04,Approved
Office of Communications and Media,FL,"Upton, Murphy and Block",2019-07-19,2019-07-26,Approved
Office of Communications and Media,OK,Bode Inc,2019-03-31,2019-04-18,Rejected
Disability Determination Bureau,CA,Roberts Inc,2019-07-05,2019-07-09,Rejected
Audit Services,FL,"Mayert, Hayes and Strosin",2019-09-21,2019-10-06,Approved
Division of Family Resources,GA,"Gottlieb, Braun and Swaniawski",2019-02-06,2019-02-15,Approved
Division of Finance,GA,Howell-Douglas,2019-09-03,2019-09-03,Approved
Audit Services,OK,"Haag, Lang and Quigley",2019-09-03,2019-09-03,Approved
Office of General Counsel,TX,Stehr Group,2019-09-15,2019-09-19,Approved
Audit Services,CA,Bruen Inc,2019-03-20,2019-04-10,Approved
Disability Determination Bureau,OK,Pollich-Crist,2019-07-08,2019-07-08,Approved
Office of Medicaid Policy and Planning,GA,Keeling and Sons,2019-12-21,2019-12-27,Approved
Office of Communications and Media,FL,"Baumbach, Barton and Gusikowski",2019-03-30,2019-04-11,Approved
Division of Finance,FL,Kulas-Steuber,2019-07-05,2019-07-15,Approved
Contract Management,FL,Schuster LLC,2019-08-28,2019-08-28,Approved
Office of General Counsel,TX,"McKenzie, Brown and Trantow",2019-01-27,2019-01-30,Rejected
Technology,TX,"Robel, Cartwright and Jerde",2019-06-12,2019-06-18,Rejected
Office of General Counsel,GA,Leffler-Towne,2019-05-09,2019-05-24,Approved
Disability Determination Bureau,TX,Thiel LLC,2019-02-27,2019-03-10,Approved
Human Resources,GA,"Herzog, Stehr and Morissette",2019-05-02,2019-05-12,Approved
Division of Mental Health and Addiction,GA,"Barrows, Jerde and McClure",2019-09-05,2019-09-05,Approved
Disability Determination Bureau,OK,Lehner Group,2019-07-04,2019-07-10,Approved
Contract Management,GA,King-Jacobson,2019-03-30,2019-04-04,Rejected
Technology,CA,Hamill and Sons,2019-11-27,2019-12-04,Approved
Human Resources,GA,McKenzie Inc,2019-08-27,2019-09-08,Rejected
Human Resources,OK,"Dach, Rohan and Zboncak",2019-03-24,2019-03-29,Approved
Division of Disability and Rehabilitative Services,GA,"Wehner, Hegmann and Wiegand",2019-08-27,2019-08-27,Approved
Quality and Compliance Office,FL,"Koss, Maggio and Kunze",2019-09-04,2019-09-04,Approved
Disability Determination Bureau,TX,Sipes Inc,2019-01-12,2019-01-30,Approved
Division of Family Resources,GA,Welch LLC,2019-04-13,2019-04-15,Approved
Division of Aging,FL,Moore and Sons,2019-01-03,2019-01-07,Approved
Legislative Services,GA,Graham-Upton,2019-04-01,2019-04-15,Approved
Quality and Compliance Office,OK,Ritchie Inc,2019-07-08,2019-07-20,Rejected
Technology,FL,"O'Reilly, Franecki and Romaguera",2019-09-08,2019-09-18,Approved
Quality and Compliance Office,TX,Skiles-Metz,2019-12-08,2019-12-12,Approved
Division of Disability and Rehabilitative Services,FL,Stroman-Schneider,2019-11-27,2019-12-05,Approved
Office of Communications and Media,TX,Spinka-Carroll,2019-12-21,2019-12-27,Approved
Division of Mental Health and Addiction,CA,Nikolaus Group,2019-03-18,2019-03-22,Approved
Division of Finance,FL,Pfeffer Inc,2019-07-13,2019-07-13,Approved
Human Resources,OK,"Bednar, Walsh and DuBuque",2019-07-11,2019-07-26,Approved
Division of Mental Health and Addiction,OK,Hegmann Inc,2019-01-03,2019-01-15,Approved
Contract Management,GA,Flatley Group,2019-01-30,2019-01-30,Approved
Human Resources,FL,Beer-Mueller,2019-11-17,2019-11-26,Rejected
Office of Early Childhood and Out-of-School Learning,TX,Lowe LLC,2019-08-30,2019-08-30,Approved
Audit Services,OK,Block-Denesik,2019-07-08,2019-07-09,Approved
Division of Family Resources,TX,"Jerde, Funk and Kuhn",2019-01-30,2019-02-11,Approved
Office of Medicaid Policy and Planning,TX,Zulauf Group,2019-07-01,2019-07-07,Approved
Contract Management,GA,Schulist-Cole,2019-02-09,2019-02-09,Approved
Office of Communications and Media,TX,Stracke LLC,2019-05-12,2019-05-15,Approved
Division of Disability and Rehabilitative Services,OK,Thiel and Sons,2019-04-28,2019-04-28,Rejected
Division of Finance,TX,"Waters, Kuhic and Prosacco",2019-10-12,2019-10-14,Approved
Division of Mental Health and Addiction,CA,Sawayn-Leannon,2019-11-05,2019-11-09,Approved
Division of Family Resources,CA,"Runolfsdottir, Barton and Rolfson",2019-11-15,2019-11-15,Approved
Legislative Services,FL,Ondricka-Satterfield,2019-07-27,2019-07-30,Approved
Division of Disability and Rehabilitative Services,CA,"Blick, Hoeger and Baumbach",2019-11-28,2019-12-07,Approved
Quality and Compliance Office,GA,"Block, Smith and Mertz",2019-05-14,2019-05-26,Approved
Division of Finance,GA,"Ankunding, Feeney and Beatty",2019-09-15,2019-09-19,Approved
Legislative Services,CA,Bergnaum LLC,2019-05-19,2019-05-19,Approved
Technology,CA,"Hodkiewicz, Gerlach and Beer",2019-04-04,2019-04-10,Approved
Human Resources,OK,"Cartwright, Johns and Nitzsche",2019-09-24,2019-09-30,Approved
Office of General Counsel,GA,D'Amore LLC,2019-06-12,2019-06-15,Approved
Legislative Services,OK,Abbott Inc,2019-08-13,2019-08-19,Approved
Office of Early Childhood and Out-of-School Learning,GA,Rogahn Group,2019-02-04,2019-02-04,Approved
Division of Aging,GA,Lind-Cormier,2019-12-24,2020-01-08,Rejected
Division of Finance,OK,Hackett and Sons,2019-02-01,2019-02-04,Approved
Division of Finance,TX,Gleason Inc,2019-10-01,2019-10-01,Approved
Division of Finance,FL,Runte LLC,2019-09-18,2019-09-20,Rejected
Technology,OK,Heaney Group,2019-06-19,2019-06-25,Approved
Division of Disability and Rehabilitative Services,OK,"Cassin, Nolan and Rolfson",2019-05-15,2019-05-15,Approved
Office of Communications and Media,CA,Smitham and Sons,2019-02-10,2019-02-20,Approved
Audit Services,FL,Hilll-Lemke,2019-08-07,2019-08-07,Approved
Office of Communications and Media,TX,Moore-Pfannerstill,2019-02-22,2019-03-11,Approved
Disability Determination Bureau,GA,McKenzie-Padberg,2019-11-10,2019-11-14,Approved
Technology,TX,"Considine, Pollich and Yost",2019-11-14,2019-11-23,Approved
Technology,GA,Gerlach Group,2019-02-04,2019-02-10,Approved
Office of Communications and Media,FL,Runte-Kertzmann,2019-04-11,2019-04-15,Rejected
Division of Disability and Rehabilitative Services,GA,Vandervort-Runolfsdottir,2019-03-13,2019-03-19,Rejected
Office of Early Childhood and Out-of-School Learning,GA,"Powlowski, Schaefer and Macejkovic",2019-08-27,2019-09-11,Approved
Office of Medicaid Policy and Planning,TX,Marquardt LLC,2019-10-13,2019-10-25,Approved
Division of Mental Health and Addiction,GA,Ondricka-Glover,2019-07-19,2019-07-21,Approved
Disability Determination Bureau,TX,Purdy-Hyatt,2019-11-21,2019-12-03,Approved
Office of General Counsel,TX,Eichmann-Blick,2019-12-23,2020-01-13,Rejected
Disability Determination Bureau,GA,Senger-Schowalter,2019-09-21,2019-09-25,Approved
Office of Early Childhood and Out-of-School Learning,TX,King-Gottlieb,2019-11-25,2019-12-05,Rejected
Office of Medicaid Policy and Planning,GA,Ullrich Group,2019-03-19,2019-03-22,Rejected
Division of Disability and Rehabilitative Services,FL,"Ebert, Smitham and Bashirian",2019-01-29,2019-01-29,Approved
Division of Aging,OK,Hane-Marvin,2019-10-14,2019-10-20,Approved
Technology,GA,Monahan Group,2019-08-04,2019-08-11,Approved
Human Resources,FL,Tromp-Wiza,2019-10-29,2019-11-01,Approved
Technology,TX,Koelpin and Sons,2019-02-03,2019-02-15,Approved
Office of Communications and Media,CA,Hackett-McKenzie,2019-12-22,2020-01-03,Rejected
Office of Early Childhood and Out-of-School Learning,CA,Wilderman-Harber,2019-12-14,2019-12-14,Approved
Office of Early Childhood and Out-of-School Learning,TX,"Anderson, Berge and Schinner",2019-09-17,2019-09-18,Approved
Office of General Counsel,GA,"Beier, Davis and Harvey",2019-03-02,2019-03-08,Approved
Office of Medicaid Policy and Planning,CA,"Kunde, Miller and Schmitt",2019-12-19,2019-12-31,Approved
Legislative Services,CA,"Jakubowski, Lockman and Homenick",2019-02-12,2019-02-18,Approved
Audit Services,FL,Sporer-Collins,2019-02-18,2019-02-20,Approved
Human Resources,OK,"Bartoletti, Abbott and Sanford",2019-02-28,2019-03-14,Approved
Division of Finance,TX,Spencer-Ruecker,2019-09-24,2019-09-28,Approved
Division of Family Resources,FL,Stark Inc,2019-06-20,2019-06-20,Rejected
Audit Services,OK,"Sipes, Hirthe and Hudson",2019-11-04,2019-11-07,Approved
Division of Family Resources,GA,Wintheiser-Rowe,2019-12-12,2019-12-15,Rejected
Office of Medicaid Policy and Planning,OK,Mitchell Group,2019-05-23,2019-05-23,Approved
Division of Aging,FL,Hyatt-Graham,2019-09-07,2019-09-07,Approved
Office of Early Childhood and Out-of-School Learning,OK,Vandervort Group,2019-05-14,2019-05-14,Approved
Division of Mental Health and Addiction,TX,Fritsch and Sons,2019-05-09,2019-05-09,Approved
Office of Medicaid Policy and Planning,TX,Kling and Sons,2019-06-08,2019-06-08,Approved
Division of Aging,OK,Medhurst-Brekke,2019-08-28,2019-09-04,Approved
Office of General Counsel,FL,"Grant, Pfeffer and Franecki",2019-04-09,2019-04-14,Approved
Division of Aging,FL,"Mohr, Schaefer and Kautzer",2019-02-18,2019-02-18,Approved
Office of Early Childhood and Out-of-School Learning,GA,"Schuster, Glover and O'Keefe",2019-10-15,2019-10-20,Approved
Office of Communications and Media,TX,"Cruickshank, Nader and Durgan",2019-07-19,2019-07-22,Approved
Division of Family Resources,OK,"Schultz, Bradtke and MacGyver",2019-09-20,2019-09-20,Approved
Office of General Counsel,GA,Sauer-O'Connell,2019-07-20,2019-07-25,Rejected
Legislative Services,CA,"Wunsch, Larkin and Hamill",2019-02-20,2019-02-25,Approved
Office of Early Childhood and Out-of-School Learning,GA,White and Sons,2019-10-31,2019-11-04,Rejected
Division of Aging,OK,Witting and Sons,2019-12-24,2019-12-30,Approved
Audit Services,FL,Wyman Group,2019-05-31,2019-06-04,Rejected
Office of Medicaid Policy and Planning,OK,Walker LLC,2019-11-24,2019-11-30,Approved
Disability Determination Bureau,TX,"Morissette, Lang and Kris",2019-09-15,2019-09-15,Rejected
Division of Aging,FL,"Mante, Rutherford and Gusikowski",2019-09-02,2019-09-10,Approved
Contract Management,FL,"Kuphal, Reynolds and Schoen",2019-01-29,2019-01-29,Approved
Contract Management,FL,Lebsack-Hettinger,2019-02-20,2019-02-24,Approved
Human Resources,FL,"Stamm, Pouros and Bechtelar",2019-04-21,2019-04-21,Rejected
Office of Medicaid Policy and Planning,CA,Ebert Group,2019-08-25,2019-09-01,Approved
Audit Services,OK,Orn Group,2019-07-08,2019-07-08,Approved
Division of Family Resources,GA,Hand Group,2019-05-17,2019-05-26,Approved
Office of Medicaid Policy and Planning,CA,Stokes-Lind,2019-08-07,2019-08-10,Approved
Human Resources,GA,Willms-Mosciski,2019-02-23,2019-03-06,Approved
Division of Finance,TX,"Wehner, Wilkinson and Gulgowski",2019-12-05,2019-12-06,Rejected
Audit Services,CA,Olson-Schmidt,2019-11-22,2019-11-28,Rejected
Office of Medicaid Policy and Planning,TX,"Walsh, Johnston and Ondricka",2019-09-10,2019-09-19,Approved
Division of Finance,CA,Hintz and Sons,2019-09-21,2019-09-21,Approved
Quality and Compliance Office,CA,Brown Inc,2019-07-15,2019-08-02,Rejected
Office of Early Childhood and Out-of-School Learning,GA,Ondricka LLC,2019-01-18,2019-01-30,Approved
Human Resources,TX,"Marks, Batz and Jacobi",2019-04-14,2019-04-15,Approved
Division of Family Resources,FL,"Schuster, Schmidt and Zieme",2019-01-21,2019-01-28,Approved
Technology,TX,"Hodkiewicz, Brown and Frami",2019-08-07,2019-08-09,Approved
Division of Aging,CA,"Marquardt, Effertz and Funk",2019-06-08,2019-06-22,Rejected
Office of Early Childhood and Out-of-School Learning,OK,"Kozey, Adams and Bauch",2019-01-04,2019-01-04,Rejected
Quality and Compliance Office,FL,Buckridge-Walsh,2019-11-28,2019-11-30,Rejected
Technology,OK,Hilpert and Sons,2019-10-15,2019-10-15,Rejected
Office of Communications and Media,TX,Cronin LLC,2019-12-21,2019-12-25,Approved
Office of General Counsel,TX,Klein-Conroy,2019-07-07,2019-07-14,Rejected
Technology,CA,"Weissnat, Kub and Gulgowski",2019-06-21,2019-06-30,Approved
Technology,CA,Boehm and Sons,2019-04-09,2019-04-21,Approved
Office of General Counsel,GA,"Parker, Gutmann and Kautzer",2019-11-24,2019-12-09,Approved
Division of Mental Health and Addiction,CA,"Ruecker, Johns and McCullough",2019-05-30,2019-06-08,Approved
Office of Medicaid Policy and Planning,OK,Konopelski-Bogan,2019-07-10,2019-07-10,Approved
Legislative Services,FL,Kihn Inc,2019-11-20,2019-11-20,Approved
Division of Disability and Rehabilitative Services,TX,"Veum, Lindgren and Berge",2019-04-28,2019-05-02,Approved
Quality and Compliance Office,FL,"Reichert, Connelly and Davis",2019-12-27,2019-12-27,Approved
Division of Finance,CA,Gutmann-Rohan,2019-06-09,2019-06-12,Rejected
Division of Mental Health and Addiction,TX,"Smitham, Considine and Smitham",2019-05-02,2019-05-14,Approved
Audit Services,FL,Renner Group,2019-04-15,2019-04-15,Approved
Division of Family Resources,GA,Collins-Farrell,2019-02-23,2019-02-23,Rejected
Division of Mental Health and Addiction,CA,"Hoppe, Kunze and Kihn",2019-02-07,2019-02-25,Approved
Disability Determination Bureau,CA,Ledner LLC,2019-12-30,2020-01-01,Approved
Technology,TX,"Dibbert, Zemlak and Williamson",2019-11-04,2019-11-07,Approved
Office of Early Childhood and Out-of-School Learning,GA,Ward-Swift,2019-03-03,2019-03-05,Approved
Disability Determination Bureau,OK,Hintz LLC,2019-02-28,2019-02-28,Approved
Human Resources,FL,Schneider-Simonis,2019-09-26,2019-09-28,Approved
Division of Aging,TX,Gerlach and Sons,2019-01-22,2019-01-22,Approved
Disability Determination Bureau,OK,"Willms, Fay and Hahn",2019-12-20,2019-12-20,Rejected
Office of Early Childhood and Out-of-School Learning,OK,Morissette Group,2019-09-02,2019-09-12,Approved
Legislative Services,OK,O'Reilly LLC,2019-10-04,2019-10-05,Approved
Contract Management,CA,Gislason-Williamson,2019-03-31,2019-04-02,Approved
Division of Finance,TX,"Weber, Russel and Christiansen",2019-08-09,2019-08-27,Approved
Office of Communications and Media,GA,Pouros-Gorczany,2019-11-04,2019-11-04,Approved
Division of Aging,GA,Walsh LLC,2019-12-04,2019-12-22,Approved
Division of Family Resources,GA,Kuvalis Inc,2019-11-04,2019-11-11,Rejected
Office of Communications and Media,TX,"Grimes, McClure and Gleichner",2019-10-17,2019-10-20,Approved
Division of Aging,FL,"Mayer, Stehr and Daugherty",2019-11-17,2019-11-20,Approved
Legislative Services,CA,"Ruecker, Krajcik and Morar",2019-04-26,2019-04-26,Approved
Quality and Compliance Office,TX,"Koepp, Ziemann and Balistreri",2019-01-14,2019-01-14,Approved
Division of Family Resources,FL,Borer-Hettinger,2019-12-02,2019-12-02,Approved
Office of Communications and Media,FL,Nicolas LLC,2019-02-26,2019-02-26,Approved
Division of Mental Health and Addiction,TX,Turner Group,2019-07-31,2019-08-18,Approved
Division of Family Resources,CA,"Farrell, Tremblay and Mills",2019-03-17,2019-03-29,Rejected
Office of General Counsel,FL,"Murazik, Hoeger and Bode",2019-10-22,2019-11-03,Approved
Division of Mental Health and Addiction,GA,"Parisian, McGlynn and Gibson",2019-12-24,2020-01-05,Approved
Office of Medicaid Policy and Planning,TX,Russel Inc,2019-10-03,2019-10-03,Rejected
Disability Determination Bureau,TX,Considine-Considine,2019-10-10,2019-10-18,Approved
Contract Management,TX,Block and Sons,2019-01-18,2019-01-18,Approved
Division of Finance,GA,Berge Inc,2019-07-21,2019-07-21,Approved
Office of Medicaid Policy and Planning,TX,Yost Inc,2019-07-29,2019-07-31,Approved
Division of Mental Health and Addiction,TX,Beer and Sons,2019-08-05,2019-08-05,Approved
Division of Family Resources,FL,"Grady, Crooks and Lakin",2019-11-03,2019-11-05,Rejected
Contract Management,TX,"Baumbach, Legros and Wisoky",2019-07-04,2019-07-04,Approved
Technology,GA,"Paucek, Brekke and Strosin",2019-03-12,2019-03-21,Approved
Division of Mental Health and Addiction,GA,Ullrich-Sanford,2019-05-09,2019-05-15,Approved
Contract Management,CA,Kihn-Kilback,2019-07-05,2019-07-08,Approved
Contract Management,TX,Hilll-Roob,2019-10-17,2019-10-20,Rejected
Division of Mental Health and Addiction,CA,Walker-Sporer,2019-12-13,2020-01-03,Approved
Division of Aging,TX,"Rutherford, Glover and Gerhold",2019-02-11,2019-02-11,Rejected
Office of Early Childhood and Out-of-School Learning,CA,"Turner, O'Hara and Maggio",2019-02-02,2019-02-04,Approved
Office of General Counsel,TX,"Huel, Torphy and Lowe",2019-03-27,2019-04-20,Approved
Contract Management,TX,"Kemmer, Kuhic and Windler",2019-04-04,2019-04-04,Approved
Office of General Counsel,OK,"Conroy, Cormier and Wilderman",2019-02-25,2019-03-05,Approved
Office of Communications and Media,GA,"Hickle, Champlin and Heathcote",2019-03-25,2019-04-04,Approved
Division of Family Resources,CA,"Beer, Eichmann and Grimes",2019-05-06,2019-05-24,Approved
Technology,GA,"Monahan, Daniel and Reilly",2019-11-14,2019-11-26,Approved
Division of Finance,CA,"Fisher, Leannon and Weissnat",2019-10-21,2019-11-02,Rejected
Division of Disability and Rehabilitative Services,TX,Cruickshank-Hoeger,2019-03-22,2019-03-30,Approved
Legislative Services,FL,Blanda Group,2019-08-18,2019-08-28,Approved
Contract Management,FL,"Crist, Emmerich and Mertz",2019-06-20,2019-06-23,Approved
Disability Determination Bureau,CA,"Nicolas, Aufderhar and Deckow",2019-12-10,2019-12-28,Approved
Human Resources,FL,"Nitzsche, Witting and Bayer",2019-12-29,2020-01-02,Approved
Technology,GA,Tromp LLC,2019-11-02,2019-11-06,Rejected
Legislative Services,OK,"Herzog, Bogisich and Marvin",2019-10-31,2019-10-31,Approved
Division of Aging,OK,"Daugherty, Lubowitz and Barrows",2019-03-18,2019-03-30,Approved
Quality and Compliance Office,OK,"Kunde, Roberts and Welch",2019-03-13,2019-03-18,Approved
Division of Disability and Rehabilitative Services,OK,"Kautzer, Beatty and Schneider",2019-12-03,2019-12-15,Approved
Contract Management,FL,"Cruickshank, McClure and Wisoky",2019-04-14,2019-05-05,Approved
Office of Communications and Media,GA,"Kuvalis, Muller and Kohler",2019-11-29,2019-11-29,Approved
Division of Disability and Rehabilitative Services,TX,Graham-Luettgen,2019-03-15,2019-03-23,Approved
Legislative Services,OK,Kub and Sons,2019-04-15,2019-04-24,Approved
Audit Services,CA,"Doyle, Bogisich and Medhurst",2019-04-07,2019-04-19,Rejected
Division of Family Resources,TX,Jones Group,2019-12-21,2019-12-27,Approved
Office of General Counsel,TX,"Wilkinson, Lind and Monahan",2019-04-01,2019-04-01,Approved
Office of General Counsel,CA,Beatty Group,2019-08-10,2019-08-19,Approved
Division of Finance,GA,"Cremin, Batz and Huel",2019-03-30,2019-04-05,Approved
Contract Management,CA,"Cormier, Hayes and Jacobi",2019-06-17,2019-06-20,Approved
Office of General Counsel,TX,Altenwerth-Kuhlman,2019-12-22,2019-12-28,Approved
Division of Mental Health and Addiction,OK,"Treutel, Tremblay and Swaniawski",2019-03-24,2019-03-25,Approved
Contract Management,GA,Berge Inc,2019-10-30,2019-11-02,Approved
